id,title,release_date,origin_country,original_language,runtime,vote_average,vote_count,popularity,genre_ids,production_company_ids
1184654,From Siberia to Moscow,1905-01-01,['DK'],da,2,0.0,0,0.0143,[99],[]
196206,Emperor Wilhelm's Arrival in Copenhagen 1905,1905-05-22,['DK'],da,2,5.2,5,0.7131,[99],[41774]
232658,"Børnehjælpsdagen 1905, I-III",1905-11-03,['DK'],da,6,4.0,1,0.0409,[99],[41774]
232656,Through Aarhus Gates by Tram,1905-11-03,['DK'],da,2,6.0,2,0.0214,[99],[41774]
232654,Prince Carl's Departure,1905-11-27,['DK'],da,3,2.5,2,0.083,[99],[]
1184669,A Belly Dancer,1905-12-21,['DK'],da,1,0.0,0,0.0239,[99],[41774]
778036,Female Rivals,1906-01-01,['DK'],da,6,5.0,4,3.2405,"[18, 10749]",[235]
232676,The Proclamation of King Frederik VIII,1906-02-04,['DK'],da,3,3.0,2,0.0,[99],[]
1341178,The Spiritist Faustinus,1906-02-15,['DK'],da,3,0.0,0,0.0951,[27],[]
232586,The Funeral of King Christian IX,1906-02-19,['DK'],da,15,3.7,3,0.0214,[99],[]
232664,17th of May in Norway,1906-05-17,['DK'],da,3,5.0,1,0.1019,[99],[]
196346,Holmenkollen Ski Jump,1906-05-23,['DK'],da,2,5.0,4,0.0327,[99],[41774]
196343,The Gypsy Dance from the Opera 'Il Trovatore',1906-05-23,['DK'],da,1,4.5,4,0.0289,[99],[]
196342,The Icelandic Althing Visits Copenhagen,1906-05-23,['DK'],da,6,4.0,5,0.0404,[99],[41774]
196340,The Life Guards on Amager,1906-05-23,['DK'],da,1,4.3,3,0.0453,[99],[41774]
232589,Empress Dowager Dagmar’s Arrival in Copenhagen,1906-09-07,['DK'],da,4,4.0,1,0.0071,[99],[188015]
232662,Lerfossen,1906-09-08,['DK'],da,1,6.0,1,0.0839,[99],[]
237871,Fishing Life in the Nordics,1906-09-15,['DK'],da,7,4.0,2,3.2559,[18],[188015]
232661,Kong Haakons og Dronning Mauds Besøg i Danmark,1906-10-03,['DK'],da,2,3.0,2,0.056,[99],[]
232590,The Anarchist's Mother-in-Law,1906-10-23,['DK'],da,3,3.5,4,0.0563,[35],[235]
232740,Zachariæs Selskab,1906-11-03,['DK'],da,5,0.0,0,0.0214,[99],[]
232691,King Frederik VIII and Kristiania,1906-11-03,['DK'],da,3,0.0,0,0.0143,[99],[]
232689,The King's Visit to Aarhus on 1. September 1906,1906-11-03,['DK'],da,2,0.0,0,0.0,[99],[]
232686,King Haakon's Coronation in Trondheim,1906-11-03,['DK'],da,8,0.0,0,0.0338,[99],[]
232685,The King and Queen Drive Between Kroningen and Trondheim Cathedral on 22 June 1906,1906-11-03,['DK'],da,2,0.0,0,0.0286,[99],[]
232684,Kong Haakon og Dronning Mauds Indtog i Trondhjem,1906-11-03,['DK'],da,7,4.0,1,0.0331,[99],[]
232682,King Haakon's Arrival in Trondheim,1906-11-03,['DK'],da,2,0.0,0,0.0404,[99],[]
232681,Prinsen og Prinsessen af Wales' Ankomst til Trondhjem,1906-11-03,['DK'],da,2,3.0,2,0.071,[99],[]
232675,King Frederik VIII's Proclamation,1906-11-03,['DK'],da,3,3.5,2,0.1125,[99],[]
232674,Kong Haakons besøg paa 'Herluf Trolle',1906-11-03,['DK'],da,1,4.0,1,0.0143,[99],[]
232670,Militære Opvisninger paa Fælleden,1906-11-03,['DK'],da,3,4.5,2,0.0214,[99],[]
232669,Væddeløbene ved Eremitagen,1906-11-03,['DK'],da,7,0.0,0,0.0327,[99],[]
232668,Kongerevue 1906,1906-11-03,['DK'],da,2,4.0,1,0.0516,[99],[]
232660,King Haakon's Visit to 'Dannenbrog' at Crown Prince Christian's Abode,1906-11-03,['DK'],da,1,4.0,1,0.0261,[99],[]
232587,Orpheus and Eurydice,1906-11-03,['DK'],da,2,6.0,1,0.0281,[99],[]
1228241,Wania Tartakoff,1906-11-15,['DK'],da,1,0.0,0,0.0143,[99],[41774]
690102,A New Hat for the Madam,1906-11-15,['DK'],da,6,1.5,1,0.0908,[35],[235]
935600,Female Wrestlers,1907-01-01,['DK'],da,7,0.0,0,0.0,[99],[235]
232778,Københavnerbilleder,1907-01-01,['DK'],da,6,0.0,0,0.0757,[99],[41774]
232763,Sprængning af Træer i Dyrehaven,1907-01-01,['DK'],da,3,6.0,1,0.0927,[99],[41774]
232707,The White Slave Girl,1907-01-12,['DK'],da,8,3.2,3,2.4343,[18],[235]
1121357,The Failure,1907-01-19,['DK'],da,5,0.0,0,0.0357,[18],[143164]
281934,The Robber's Sweetheart,1907-03-12,['DK'],da,12,3.8,2,1.0396,[18],[235]
232769,May 1 demo in Slagelse,1907-05-01,['DK'],da,4,6.0,2,0.0362,[99],[]
719745,The Rose,1907-05-11,['DK'],da,9,1.0,1,3.3214,"[18, 35]",[235]
196465,Landbrug i Danmark,1907-05-23,['DK'],da,8,0.0,0,0.0,[99],[]
747428,For a Woman's Sake,1907-08-27,['DK'],da,7,0.0,0,1.037,[18],[235]
341425,Kong Frederik VIII's første Kongerevue,1907-09-09,['DK'],da,4,0.0,0,0.0071,[99],[235]
922122,The Merry Widow,1907-09-17,['DK'],da,8,0.0,0,0.0457,[35],[235]
922125,Once Upon a Time,1907-09-25,['DK'],da,10,2.0,1,2.7576,[18],[235]
778038,The Flight from the Seraglio,1907-09-26,['DK'],da,9,2.0,1,2.4715,"[18, 10749]",[235]
683790,The Boy with the Sixth Sense,1907-09-26,['DK'],da,6,0.0,0,3.4316,[18],[235]
873068,The Magic Bag,1907-10-01,['DK'],da,4,4.5,1,0.0143,[35],[235]
687307,The Tinderbox,1907-10-03,['DK'],da,11,3.8,2,1.8942,[14],[235]
281935,The Lady with the Camelias,1907-10-16,['DK'],da,14,4.0,3,1.3873,[18],[235]
232883,Skøjteløbning i Fredericia,1907-11-03,['DK'],da,3,4.0,1,0.0362,[99],[]
232775,Engineer Corps Preparing for Explosions,1907-11-03,['DK'],da,1,4.0,1,0.0662,[99],[]
232774,Children's Welfare Day in Copenhagen,1907-11-03,['DK'],da,3,5.0,2,0.1137,[99],[]
232767,Automobiler i Fredensborg,1907-11-03,['DK'],da,2,4.0,1,0.0398,[99],[]
232762,A Blasting Operation in Ordrup,1907-11-03,['DK'],da,2,0.0,0,0.0357,[99],[]
232753,Hestevæddeløb i Sverige,1907-11-03,['DK'],da,5,0.0,0,0.0637,[99],[]
232749,Cattle Show in Haslev,1907-11-03,['DK'],da,3,4.0,1,0.0286,[99],[]
232747,Engineers Building a Temporary Bridge,1907-11-03,['DK'],da,3,5.0,1,0.0143,[99],[]
232746,The Orchestra at Frederiksberg Theater,1907-11-03,['DK'],da,4,4.0,1,0.0286,[99],[188015]
232745,Volunteer Boys' Association,1907-11-03,['DK'],da,4,4.0,1,0.0327,[99],[]
232742,Badende Drenge i Skovshoved Havn,1907-11-03,['DK'],da,1,0.0,0,0.0143,[99],[]
232738,Shrovetide Celebrations at Mogensen's,1907-11-03,['DK'],da,3,4.0,1,0.0637,[99],[]
232737,Viking løber af Stabelen,1907-11-03,['DK'],da,3,4.0,1,0.0214,[99],[]
232734,Fru Ellen Aggerholm,1907-11-03,['DK'],da,3,0.0,0,0.0473,[99],[]
232703,King Frederik VIII's Arrival in Berlin,1907-11-03,['DK'],da,2,3.5,2,0.0071,[99],[41774]
232698,Kong Frederik VIII besøger Færøerne,1907-11-03,['DK'],da,2,0.0,0,0.0,[99],[]
232697,King Frederik VIII Travels to Iceland,1907-11-03,['DK'],da,4,4.0,1,0.0071,[99],[]
237872,Boxers,1907-11-17,['DK'],da,4,3.0,1,0.0071,[35],[235]
954856,The Non-Stop Motor Bicycle,1908-01-01,['DK'],da,4,0.0,0,0.2522,[35],[235]
1053735,The Will,1908-01-07,['DK'],da,7,2.5,1,3.2166,[18],[143164]
1339508,Trilby,1908-05-10,['DK'],da,10,0.0,0,2.9612,"[18, 27]",[188015]
232887,Kong Frederik VIII gæster Jylland,1908-08-03,['DK'],da,13,4.0,1,0.0256,[99],[]
232905,A Trip Through the Canals of Copenhagen,1908-11-03,['DK'],da,4,0.0,0,0.0,[99],[]
232894,Modeopvisning - Kjoler,1908-11-03,['DK'],da,1,3.0,1,0.0239,[99],[]
232693,Ellehammers første Forsøg med Aeroplan,1908-11-03,['DK'],da,1,0.0,0,0.0071,[99],[235]
232946,Grundstensnedlæggelse ved Gustav Adolfs Kirke,1908-11-04,['DK'],da,6,4.0,2,0.0,[99],[]
232895,Typografernes Strejke,1908-11-04,['DK'],da,3,0.0,0,0.0,[99],[]
954862,The Stepmother,1908-11-06,['DK'],da,15,3.0,1,2.4249,[18],[235]
108797,Lion Hunting,1908-11-11,['DK'],da,12,4.3,11,4.1158,"[12, 99, 80]",[235]
237883,La Tosca,1908-11-17,['DK'],da,6,0.0,0,2.6621,"[36, 18]",[235]
941573,The Barber's Baby's Christening,1908-12-04,['DK'],da,2,0.0,0,2.2009,[],[235]
465508,Madame Sans Gene,1909-01-01,['DK'],da,12,1.0,1,1.3633,"[36, 35]",[235]
998183,The Night Before Christian's Birthday,1909-02-01,['DK'],da,8,0.0,0,1.6454,[],[235]
237902,The Magic Purse,1909-02-19,['DK'],da,8,5.0,2,1.8222,"[18, 14]",[235]
854473,Faldgruben,1909-04-20,['DK'],da,0,2.0,1,0.5289,[18],[]
233105,Julifest i Fredericia,1909-07-06,['DK'],da,6,0.0,0,0.0143,[99],[]
297445,The Grey Dame,1909-08-26,['DK'],da,14,0.5,1,1.906,"[80, 27]",[235]
232988,The Witch and the Cyclist,1909-08-29,['DK'],da,3,3.1,6,3.3571,"[14, 35]",[235]
232967,Dr. Cook at Copenhagen,1909-09-21,['DK'],da,6,6.0,1,0.0168,[99],[235]
232980,The Little Bugler,1909-10-21,['DK'],da,20,2.5,2,0.0416,[],[]
232998,The Master Detective,1909-11-04,['DK'],da,14,0.0,0,2.5112,[80],[235]
232989,A Message to Napoleon at Elba,1909-11-04,['DK'],da,13,2.0,1,0.2407,[],[]
232986,The Two Gold Diggers,1909-11-04,['DK'],da,10,4.5,1,3.8864,"[37, 18, 10749]",[235]
232984,The Short-Sighted Governess,1909-11-04,['DK'],da,4,0.5,1,2.9017,[35],[235]
232974,At the Sea Shore,1909-11-04,['DK'],da,10,0.0,0,0.0357,[],[]
232969,The Mysterious Cigar,1909-11-04,['DK'],da,3,0.0,0,0.1502,[35],[235]
941240,The Child as Benefactor,1909-12-03,['DK'],da,14,3.8,2,1.0765,[18],[235]
1028892,Sherlock Holmes,1909-12-09,['DK'],da,0,5.2,5,0.0256,[9648],[235]
1053740,The Black Domino,1910-01-01,['DK'],da,13,0.0,0,0.0853,[],[143164]
1020409,The Engagement Ring,1910-01-01,['DK'],da,11,0.0,0,2.7912,[],[235]
1020396,Dicky's Courtship,1910-01-01,['DK'],da,4,0.0,0,0.0557,[],[235]
919904,Mr. Fabian Going Out for a Picnic,1910-01-01,['DK'],da,7,0.0,0,0.0143,[],[235]
873067,Holger the Dane,1910-01-01,['DK'],da,4,0.0,0,0.0572,"[18, 14]",[109481]
650399,A Human Life,1910-01-01,['DK'],da,13,6.0,1,0.671,[],[35286]
297448,Dr. Jekyll and Mr. Hyde,1910-01-01,['DK'],da,17,0.0,0,1.1078,[27],[235]
193991,A Wasted Life,1910-01-01,['DK'],da,8,0.0,0,0.0143,[18],[145916]
233002,The Human Ape,1910-01-08,['DK'],da,6,0.0,0,0.0214,"[99, 35]",[235]
539177,The White Slave Trade,1910-04-11,['DK'],da,21,0.0,0,0.1131,"[18, 80]",[160924]
963750,Kean,1910-04-28,['DK'],da,11,0.0,0,0.8329,[],[235]
418270,A Recruit from 64,1910-08-01,['DK'],da,35,5.2,4,0.0071,"[18, 10752]",[72036]
194011,The White Slave Trade,1910-08-02,['DK'],da,33,5.4,14,1.638,[18],[235]
740316,A Hero from 64,1910-08-12,['DK'],da,17,4.0,1,0.0327,"[18, 10752, 36]",[109481]
1020413,Valdemars Sejr,1910-08-29,['DK'],da,2,0.0,0,0.0579,[],[109481]
77133,The Abyss,1910-09-12,['DK'],da,41,6.3,47,0.3679,[18],[94778]
873071,Mr. Fabian is Rathunting,1910-09-18,['DK'],da,5,0.0,0,0.0143,[35],[235]
941219,From the Depths of the City,1910-09-29,['DK'],da,31,0.0,0,0.7925,[],[133050]
861739,Who Is She?,1910-09-29,['DK'],da,0,0.0,0,0.1126,[18],[]
798945,Elves' Hill,1910-09-29,['DK'],da,22,0.0,0,0.0618,"[18, 36]",[133050]
1243547,A False Alarm,1910-10-04,['DK'],da,5,0.0,0,1.59,[],[188015]
766731,Elves' Hill,1910-10-10,['DK'],da,17,0.0,0,0.1664,[18],[109481]
1439199,The Face Thief,1910-10-27,['DK'],da,10,0.0,0,0.1054,[],[109481]
233011,The Confidence Trick,1910-11-04,['DK'],da,13,3.8,3,2.2984,"[80, 18]",[235]
922131,The New Teacher,1910-11-07,['DK'],da,6,0.0,0,1.0517,[35],[235]
922136,The Expert Hunter,1910-11-15,['DK'],da,4,0.0,0,0.0214,[],[235]
237936,The Count's Double,1910-11-17,['DK'],da,15,0.0,0,0.143,[],[235]
941226,Ambrosius,1910-11-22,['DK'],da,8,4.0,1,0.1632,[],[109481]
194027,Copenhagen by Night,1910-12-26,['DK'],da,24,4.0,1,0.0168,[35],[133050]
1130023,The Wedding Dress,1911-01-01,['DK'],da,14,0.0,0,0.0281,[10749],[167184]
922139,The Manicurist with the Big Heart,1911-01-01,['DK'],da,28,0.0,0,0.0991,[],[133050]
696161,A Dead Man's Child,1911-01-01,['DK'],da,33,0.0,0,0.0686,[53],[235]
641633,The Black Hood,1911-01-01,['DK'],da,7,0.0,0,1.8485,"[9648, 80]",[235]
292141,The Right of Youth,1911-01-02,['DK'],da,33,6.6,235,0.6013,[18],[]
283242,The Nihilist,1911-01-02,['DK'],da,23,0.0,0,0.0805,[18],[235]
1177347,The Love of a Gypsy Girl,1911-01-09,['DK'],da,14,0.0,0,1.5075,[18],[193683]
786475,In the Hands of Imposters,1911-01-23,['DK'],da,47,4.0,1,1.2676,"[18, 80, 10749]",[235]
988174,Nonnen fra Asminderød,1911-02-07,['DK'],da,0,0.0,0,2.3851,[],[]
786474,Hotel Thieves,1911-02-07,['DK'],da,4,0.0,0,0.1455,"[80, 18]",[235]
1399319,The Cossack Duke,1911-02-13,['DK'],da,14,0.0,0,0.0928,[],[]
1182240,A Fatal Lie,1911-02-19,['DK'],da,38,0.0,0,0.6371,[18],[188015]
1224415,Hamlet,1911-02-27,['DK'],da,12,0.0,0,1.9491,[18],[193683]
292179,Temptations of a Great City,1911-03-06,['DK'],da,41,5.5,14,2.1795,[18],[235]
1209446,The Trouser Skirt,1911-03-24,['DK'],da,8,0.0,0,0.1434,[],[133050]
963754,Among Copenhagen Apaches,1911-03-27,['DK'],da,2,0.0,0,0.0362,[],[109481]
629214,The Price of Beauty,1911-04-07,['DK'],da,37,5.0,1,1.6471,[],[]
983911,The Morphine Takers,1911-04-17,['DK'],da,0,0.0,0,0.1859,[],[71690]
629224,A Homeless Bird,1911-05-08,['DK'],da,42,2.0,1,0.0823,[],[]
623932,Thru Trials to Victory,1911-06-12,['DK'],da,32,0.0,0,0.0214,[18],[235]
998199,The Aviator's Generosity,1911-07-19,['DK'],da,26,0.0,0,0.4273,[18],[235]
283512,The Girl Behind the Counter,1911-08-12,['DK'],da,52,0.0,0,1.5009,"[18, 10749]",[235]
283678,The Four Devils,1911-08-28,['DK'],da,35,5.8,2,5.4425,[18],[72036]
194210,The Black Dream,1911-09-04,['DK'],da,53,4.7,13,0.3852,[18],[109481]
1444600,The Big Win,1911-09-15,['DK'],da,12,0.0,0,1.286,[35],[133050]
623928,Lady Mary's Love,1911-09-18,['DK'],da,33,0.0,0,1.4176,"[18, 10749]",[235]
238128,A Victim of the Mormons,1911-10-02,['DK'],da,50,3.7,3,1.4455,"[18, 53]","[235, 109481]"
1210226,Love and Money,1911-10-16,['DK'],da,32,0.0,0,1.0033,[],[188015]
963753,Artists,1911-10-16,['DK'],da,19,0.0,0,0.0071,[],[173579]
283312,Dr. Gar El Hama's Flight,1911-11-01,['DK'],da,18,0.0,0,1.4914,[18],[235]
232899,Exploding Mine in the Sound,1911-11-03,['DK'],da,1,4.0,1,0.1064,[99],[41774]
1208787,A Wedding Night,1911-11-06,['DK'],da,12,0.0,0,0.0495,[35],[72036]
1273312,Dr. Gar el Hama I,1911-11-13,['DK'],da,0,0.0,0,0.4967,"[53, 9648, 80]",[225925]
747406,When Passion Blinds Honesty,1911-11-16,['DK'],da,26,0.0,0,2.2193,"[18, 10749]",[235]
189804,The Ballet Dancer,1911-11-16,['DK'],da,37,4.8,6,2.5047,[18],[235]
563411,Dearly Purchased Honour,1911-11-21,['DK'],da,14,0.0,0,0.1017,"[18, 80]",[]
1180738,The Girls from Cafe Maxim,1911-11-28,['DK'],da,15,0.0,0,0.1159,[],[]
922117,Pride comes before a Fall,1911-12-14,['DK'],da,21,5.0,1,0.0322,[],[167184]
756900,The Amateur's Generosity,1911-12-14,['DK'],da,34,0.0,0,0.9656,[18],[235]
1053732,The Old Merchant's Home,1911-12-16,['DK'],da,6,0.0,0,0.0409,[],[109481]
1399331,The Farmer's Daughter,1912-01-01,['DK'],da,15,0.0,0,0.0286,[],[]
1210261,Lindstrøm's Play,1912-01-01,['DK'],da,4,0.0,0,0.0658,[],[41774]
699296,Boston and the Telescope,1912-01-01,['DK'],da,3,0.0,0,0.0,[35],[133119]
641628,"Gorki, The Demon Detective",1912-01-01,['DK'],da,28,5.0,1,0.098,"[80, 18]",[124427]
1402813,Love and Friendship,1912-01-08,['DK'],da,37,0.0,0,0.1906,[],[188015]
919906,Love in the Tropics,1912-02-12,['DK'],da,33,0.0,0,0.784,[],[235]
341383,Kong Frederik VIII's Død Og Bisættelse,1912-02-12,['DK'],da,1,0.0,0,0.0,[99],[235]
238149,The Vampire Dancer,1912-03-04,['DK'],da,30,2.5,2,1.5631,[18],[235]
193894,The Pride of the Circus,1912-03-20,['DK'],da,46,5.8,9,0.0868,[18],[71690]
233115,The Craftman's Adventure,1912-04-01,['DK'],da,30,0.0,0,0.124,[],[]
1210680,Midsummer-Time,1912-04-03,['DK'],da,34,0.0,0,0.6228,[],[188015]
283084,Desdemona,1912-04-08,['DK'],da,23,2.8,4,0.258,[],[]
1255685,The Clown's Revenge,1912-04-11,['DK'],da,26,0.0,0,0.4771,[18],[188015]
1279052,The Two Convicts,1912-04-12,['DK'],da,18,0.0,0,0.5375,[],[188015]
325064,Bride of Death,1912-04-12,['DK'],da,40,0.0,0,0.3476,"[80, 18]",[235]
700500,Det blaa Blod,1912-04-17,['DK'],da,0,0.0,0,0.236,[],[]
1210544,The Aeroplane Inventor,1912-05-04,['DK'],da,26,0.0,0,0.2295,[],[188015]
173883,The Bear Tamer,1912-05-07,['DK'],da,50,1.0,1,0.2193,[18],[71690]
1210530,The Little Railroad Queen,1912-05-22,['DK'],da,40,0.0,0,0.7559,[18],[188015]
854476,The City Hyena,1912-05-27,['DK'],da,31,0.0,0,0.1329,[],[167184]
1472685,A Homecoming,1912-06-25,['DK'],da,7,0.0,0,0.1079,[],[]
1255693,Don't Go on the Spree,1912-06-25,['DK'],da,7,0.0,0,0.0143,[],[188015]
1389810,En historie om kærlighed,1912-07-06,['DK'],da,0,0.0,0,0.0143,[18],[188015]
1224413,The Governor's Daughter,1912-07-15,['DK'],da,27,0.0,0,2.3225,[18],[]
1389809,To Søstre,1912-07-29,['DK'],da,0,0.0,0,0.1078,[18],[109481]
1296061,Shanghaie'd,1912-07-29,['DK'],da,34,0.0,0,1.6676,[],[188015]
1389776,De uheldige Friere,1912-08-23,['DK'],da,0,0.0,0,1.0941,[35],[188015]
319775,The Great Circus Catastrophe,1912-08-26,['DK'],da,45,3.0,2,3.3088,[18],[235]
985698,Zigeunerorkestret,1912-08-28,['DK'],da,0,0.0,0,0.8467,[],[]
933592,Konfetti,1912-09-09,['DK'],da,0,0.0,0,0.5164,[],[]
1303322,Memento Mori,1912-09-12,['DK'],da,30,0.0,0,0.1264,[],[167184]
1389753,En moders kærlighed,1912-09-26,['DK'],da,0,0.0,0,0.0071,[18],[143164]
1224411,The Story of a Mother,1912-09-26,['DK'],da,30,0.0,0,0.8336,[18],[109481]
1389745,Frederik Buch som skopudser,1912-09-27,['DK'],da,0,0.0,0,0.0468,[35],[188015]
623935,Vanquished,1912-09-30,['DK'],da,28,0.0,0,0.1769,[],[188015]
238171,Fire at Sea,1912-10-02,['DK'],da,34,0.0,0,0.1959,[53],[235]
650394,The Black Chancellor,1912-10-07,['DK'],da,48,6.0,1,0.4379,"[18, 35]",[235]
1273300,When Bacchus Reigns,1912-10-31,['DK'],da,30,0.0,0,0.2118,[],[188015]
1181762,In a Den of Lions,1912-11-08,['DK'],da,28,0.0,0,0.5151,[],[]
700487,Skovsøens Datter,1912-11-11,['DK'],da,0,0.0,0,0.0506,[],[]
303824,The Disturbed Sentry,1912-11-17,['DK'],da,5,0.0,0,0.0214,[35],[235]
922112,The Modern Girl,1912-11-19,['DK'],da,42,0.0,0,1.011,[],[235]
786477,The House of Ill Repute,1912-11-28,['DK'],da,32,0.0,0,0.1727,"[18, 80, 10749]",[235]
1389361,Direktørens Datter,1912-12-01,['DK'],da,0,0.0,0,0.6106,[18],[188015]
238148,John Takes Himself Off,1912-12-01,['DK'],da,7,0.0,0,0.0239,[35],[235]
1212677,The Three Comrades,1912-12-02,['DK'],da,35,0.0,0,0.4162,[18],[188015]
1142700,God Decides,1912-12-09,['DK'],da,26,0.0,0,0.8202,[],[214475]
1389372,Hans første Honorar,1912-12-23,['DK'],da,0,0.0,0,0.2835,[35],[188015]
1377693,Love is Blind,1913-01-01,['DK'],da,36,0.0,0,0.0482,[],[243055]
1208962,In the Last Second,1913-01-01,['DK'],da,29,0.0,0,0.0168,[],[127854]
624009,Outwitted,1913-02-03,['DK'],da,13,0.0,0,0.0453,[35],[]
304001,Crossed Swords,1913-02-18,['DK'],da,30,4.7,3,1.1337,"[10752, 18]",[235]
629215,Mørkets Gerninger,1913-02-20,['DK'],da,0,0.0,0,0.0314,[],[]
985696,Balloneksplosionen,1913-03-06,['DK'],da,0,0.0,0,0.2772,[],[]
238176,Fred as Soldier,1913-03-13,['DK'],da,10,0.0,0,0.1712,[35],[235]
631558,Strejken paa den gamle Fabrik,1913-03-31,['DK'],da,0,0.0,0,0.0286,[18],[]
757850,Krigskorrespondenter,1913-05-13,['DK'],da,0,0.0,0,0.0986,"[10752, 18]",[]
1195135,The Usurer's Son,1913-05-16,['DK'],da,36,0.0,0,0.0289,[18],[143164]
1210252,The Man in the White Cloak,1913-06-02,['DK'],da,9,0.0,0,0.0682,[],[188015]
1212664,The Awakening,1913-06-09,['DK'],da,43,0.0,0,0.8037,[],[188015]
998195,One Life One Love,1913-06-23,['DK'],da,13,0.0,0,0.1517,[],[235]
851461,Fred as Decorator,1913-06-29,['DK'],da,8,0.0,0,0.0545,[35],[235]
1377125,His Most Difficult Part,1913-07-14,['DK'],da,25,0.0,0,0.5256,[],[188015]
191941,Dr. Nicholson and the Blue Diamond,1913-07-17,['DK'],da,56,4.8,4,0.0143,"[18, 80, 53]",[72036]
625387,Moderkærlighed,1913-07-28,['DK'],da,0,0.0,0,0.045,[18],[]
1209879,The Live Statue,1913-08-04,['DK'],da,14,0.0,0,1.8276,[],[72036]
641631,The Firefly,1913-08-18,['DK'],da,47,6.0,3,1.2135,[18],[72036]
1255701,Saved from the Path of Transgression,1913-08-20,['DK'],da,12,0.0,0,0.0681,[],[73284]
629208,Mens Pesten raser,1913-09-01,['DK'],da,63,0.0,0,1.2044,[18],[235]
629207,Unjustly Accused,1913-09-26,['DK'],da,56,7.0,1,0.1134,"[18, 35]",[235]
628686,The Secret of Adrianople,1913-10-13,['DK'],da,45,0.0,0,0.0707,[],[72036]
919901,The Isle of the Dead,1913-10-24,['DK'],da,57,0.0,0,0.0811,[],[73284]
233139,Under the Wing of the Mill,1913-10-30,['DK'],da,30,0.0,0,1.3787,[],[]
629209,Den hvide Dame,1913-11-10,['DK'],da,0,0.0,0,0.089,[],[]
632609,The Princess' Dilemma,1913-11-20,['DK'],da,45,0.0,0,0.1137,[18],[235]
891630,The Dock Catastrophe,1913-11-24,['DK'],da,23,0.0,0,0.4308,[18],[73284]
628687,Dødsklippen,1913-11-24,['DK'],da,41,0.0,0,0.6498,[],[72036]
1209005,"His Highness, The Prince",1913-12-11,['DK'],da,29,0.0,0,1.3463,[],[188015]
179835,Atlantis,1913-12-20,['DK'],da,117,5.9,14,2.0198,[18],[235]
1377117,Out On the Deep,1913-12-26,['DK'],da,92,0.0,0,0.1107,[],[188015]
998197,Wanted a Sweetheart,1913-12-26,['DK'],da,16,0.0,0,0.1002,[],[235]
